UpdateDate,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
12/07/2023,20:30,USA - MLS,New York Red Bulls,FC Cincinnati,-,1.95,3.3,3.8,2.0,1.85,1.8,1.95
12/07/2023,21:30,USA - MLS,Chicago Fire,CF Montreal,-,1.75,3.75,4.5,1.8,2.0,1.7,2.05
12/07/2023,21:30,USA - MLS,Houston Dynamo,Minnesota United,-,1.91,3.4,3.8,1.7,2.1,1.62,2.2
12/07/2023,21:30,USA - MLS,Nashville SC,Philadelphia Union,-,2.05,3.3,3.5,1.98,1.88,1.75,2.0
12/07/2023,21:30,USA - MLS,Sporting Kansas City,Real Salt Lake,-,1.85,3.6,4.0,1.67,2.15,1.62,2.2
12/07/2023,22:00,USA - MLS,Colorado Rapids,Portland Timbers,-,,,,,,,
12/07/2023,23:30,USA - MLS,Los Angeles FC,St. Louis City,-,1.57,4.0,5.75,1.53,2.4,1.62,2.2
12/07/2023,23:30,USA - MLS,San Jose Earthquakes,Seattle Sounders,-,2.63,3.2,2.63,1.93,1.93,1.7,2.05
12/07/2023,23:30,USA - MLS,Vancouver Whitecaps,Austin FC,-,1.73,4.0,4.5,1.53,2.4,1.57,2.25
12/07/2023,20:00,USA - USL CHAMPIONSHIP,Indy Eleven,Charleston,-,2.31,3.44,2.81,1.8,1.99,1.62,2.24
12/07/2023,20:30,USA - USL CHAMPIONSHIP,Detroit,Loudoun,-,1.73,3.76,4.25,2.05,1.75,1.9,1.86
12/07/2023,21:00,USA - USL CHAMPIONSHIP,Louisville City,Pittsburgh,-,2.05,3.24,3.54,2.25,1.63,1.92,1.84
12/07/2023,22:00,USA - USL CHAMPIONSHIP,El Paso,San Antonio,-,2.24,3.44,2.92,1.81,1.98,1.62,2.23
12/07/2023,22:00,USA - USL CHAMPIONSHIP,FC Tulsa,Miami FC,-,2.2,3.42,3.01,1.83,1.95,1.64,2.2
12/07/2023,23:00,USA - USL CHAMPIONSHIP,Oakland Roots,Memphis,-,2.12,3.5,3.1,1.75,2.05,1.6,2.27
